Producto;CONSUMO X CAPITA;VALOR (Miles Euros);Fecha
PESCADOS CONGELADOS;0.18159581153034;65428.632;01/02/2019
TOTAL LECHE LIQUIDA;5.68526672503416;179221.2239;01/02/2019
PAN;2.52823578635103;281208.836;01/02/2019
BOLL.PAST.GALLET.CERE;1.08427635360187;214035.48455000002;01/02/2019
ARROZ;0.33312073215407;24902.21;01/02/2019
TOTAL PASTAS;0.33802705025287;29608.1404;01/02/2019
LEGUMBRES;0.28454497147028;25886.489899999997;01/02/2019
TOTAL ACEITE;0.86713896660158;103490.5538;01/02/2019
TOTAL VINOS;0.56827197129089;71342.72;01/02/2019
CERVEZAS;1.216215309197;73691.43;01/02/2019
SIDRAS;0.01210209739143;1267.78;01/02/2019
T.BEBIDAS ESPIRITUOSA;0.04560816352801;22782.67;01/02/2019
TOTAL PATATAS;2.1622632417998;90350.516;01/02/2019
T.HORTALIZAS FRESCAS;4.47914291992134;388007.286;01/02/2019
T.FRUTAS FRESCAS;6.55179853175549;479617.9281;01/02/2019
BEBIDAS REFRESCANTES;2.54723062392151;103183.899;01/02/2019
T.HUEVOS KGS;0.73045937611361;80168.3186;01/03/2019
TOTAL CARNE;3.99067731699153;1221009.3040999998;01/03/2019
CARNE CERTIFICADA;0.63372227810505;228397;01/03/2019
CARNE FRESCA;2.92259221598754;818171.81;01/03/2019
CARNE CONGELADA;0.09353191659894;19380.234;01/03/2019
CARNE TRANSFORMADA;0.97455318440504;383457.2601;01/03/2019
PESCADOS;1.10434239249644;392642.597;01/03/2019
PESCADOS FRESCOS;0.89248844852645;315665.439;01/03/2019
PESCADOS CONGELADOS;0.21185394396999;76977.158;01/03/2019
TOTAL LECHE LIQUIDA;6.07077757872452;193452.3147;01/03/2019
PAN;2.764086273305;311051.818;01/03/2019
BOLL.PAST.GALLET.CERE;1.1815864460845;233042.42278;01/03/2019
ARROZ;0.34356196855062;26844.37;01/03/2019
TOTAL PASTAS;0.35643704980143;32522.9459;01/03/2019
LEGUMBRES;0.31095001948862;27109.1385;01/03/2019
TOTAL ACEITE;0.97572750403368;116319.58213;01/03/2019
TOTAL VINOS;0.68917797214394;85447.06;01/03/2019
CERVEZAS;1.43435690939838;87659.34;01/03/2019
SIDRAS;0.0214306859436;2524.692;01/03/2019
T.BEBIDAS ESPIRITUOSA;0.05072441055576;24987.9;01/03/2019
TOTAL PATATAS;2.30358935159415;99321.947;01/03/2019
T.HORTALIZAS FRESCAS;4.95627076108138;426579.892;01/03/2019
T.FRUTAS FRESCAS;7.35259139659446;542032.7689;01/03/2019
BEBIDAS REFRESCANTES;2.87904827745862;118538.47;01/03/2019
T.HUEVOS KGS;0.71159895057239;76438.90729999999;01/04/2019
TOTAL CARNE;3.74342075003029;1150854.008;01/04/2019
CARNE CERTIFICADA;0.60264117660094;227085.6;01/04/2019
CARNE FRESCA;2.72864597349195;759290.08;01/04/2019
CARNE CONGELADA;0.07970034078063;16175.275;01/04/2019
CARNE TRANSFORMADA;0.93507443575771;375388.653;01/04/2019
PESCADOS;1.03469606109656;368199.501;01/04/2019
PESCADOS FRESCOS;0.82977979284529;294316.881;01/04/2019
PESCADOS CONGELADOS;0.20491626825127;73882.62;01/04/2019
TOTAL LECHE LIQUIDA;5.96959011915447;188339.6659;01/04/2019
PAN;2.63025424770651;292203.548;01/04/2019
BOLL.PAST.GALLET.CERE;1.13922085215196;236014.732;01/04/2019
ARROZ;0.32588152695295;24737.07;01/04/2019
TOTAL PASTAS;0.34055088412982;30138.7104;01/04/2019
LEGUMBRES;0.27763314138355;24359.408;01/04/2019
TOTAL ACEITE;1.00639000273562;117279.396236;01/04/2019
TOTAL VINOS;0.63708973348642;82011.67;01/04/2019
CERVEZAS;1.44388018248791;88019.62;01/04/2019
SIDRAS;0.01906620845876;1800.165;01/04/2019
T.BEBIDAS ESPIRITUOSA;0.05054879641342;25509.26;01/04/2019
TOTAL PATATAS;2.28012563275843;99384.49;01/04/2019
T.HORTALIZAS FRESCAS;4.57283076670216;399422.959;01/04/2019
T.FRUTAS FRESCAS;6.95037273611445;493202.0844;01/04/2019
BEBIDAS REFRESCANTES;2.87139661751133;115141.408;01/04/2019
T.HUEVOS KGS;0.70287804765886;76446.92259999999;01/05/2019
TOTAL CARNE;3.77756164394684;1169796.91;01/05/2019
CARNE CERTIFICADA;0.58955250280664;217561.2;01/05/2019
CARNE FRESCA;2.73947068613311;764621.079;01/05/2019
CARNE CONGELADA;0.0814544615574;16862.934;01/05/2019
CARNE TRANSFORMADA;0.95663649625632;388312.897;01/05/2019
PESCADOS;1.06393576376323;385804.195;01/05/2019
PESCADOS FRESCOS;0.88121208016001;320628.763;01/05/2019
PESCADOS CONGELADOS;0.18272368360321;65175.432;01/05/2019
TOTAL LECHE LIQUIDA;5.95908345022933;187515.8026;01/05/2019
PAN;2.66720665032743;297376.277;01/05/2019
BOLL.PAST.GALLET.CERE;1.11213719475065;219411.35744999998;01/05/2019
ARROZ;0.33556740572983;26187.66;01/05/2019
TOTAL PASTAS;0.34684870907048;31282.4851;01/05/2019
LEGUMBRES;0.25140387271494;22179.068;01/05/2019
TOTAL ACEITE;1.00350485407816;118169.91935;01/05/2019
TOTAL VINOS;0.65301294962272;83530.15;01/05/2019
CERVEZAS;1.56551790893407;95360.08;01/05/2019
SIDRAS;0.01836624517659;2246.259;01/05/2019
T.BEBIDAS ESPIRITUOSA;0.05004959695323;24408.29;01/05/2019
TOTAL PATATAS;2.37563648442134;109738.701;01/05/2019
T.HORTALIZAS FRESCAS;4.93193894468276;422079.904;01/05/2019
T.FRUTAS FRESCAS;8.03280438298055;580001.109;01/05/2019
BEBIDAS REFRESCANTES;3.07843125195137;128932.31;01/05/2019
T.HUEVOS KGS;0.67385838062344;71971.6951;01/06/2019
TOTAL CARNE;3.50664375408161;1091200.2778;01/06/2019
CARNE CERTIFICADA;0.53090713560456;197840.9;01/06/2019
CARNE FRESCA;2.53857544405873;710589.867;01/06/2019
CARNE CONGELADA;0.07970350617134;16761.435;01/06/2019
CARNE TRANSFORMADA;0.88836480385153;363848.9758;01/06/2019
PESCADOS;0.99637921897651;358005.655;01/06/2019
PESCADOS FRESCOS;0.82303602982893;298079.074;01/06/2019
PESCADOS CONGELADOS;0.17334318914757;59926.581;01/06/2019
TOTAL LECHE LIQUIDA;5.40637811164274;172342.5776;01/06/2019
PAN;2.51134729949306;284551.224;01/06/2019
BOLL.PAST.GALLET.CERE;0.99271374143069;197307.395687;01/06/2019
ARROZ;0.30854819429589;24314.29;01/06/2019
TOTAL PASTAS;0.32935379145616;28944.6775;01/06/2019
LEGUMBRES;0.23611554398069;20518.8398;01/06/2019
TOTAL ACEITE;0.94614333487722;108906.60113;01/06/2019
TOTAL VINOS;0.59616621813039;78368.36;01/06/2019
CERVEZAS;1.72240833159159;105272.17;01/06/2019
SIDRAS;0.02057127369248;2515.246;01/06/2019
T.BEBIDAS ESPIRITUOSA;0.05340172403847;26300.18;01/06/2019
